,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
67,lh_S_precentral-inf-part_thickness,-13946.67480948967,0.321480381136094,-0.8495097120438341,-27868.435574964977,0.1739378517700519,0.8982450397181247
68,lh_S_precentral-sup-part_thickness,-10340.162935972958,0.25056091050051454,-0.5534166115377681,-20655.41182793155,-0.2969632644286896,1.8576869430145553
69,lh_S_suborbital_thickness,2133.1990890634174,0.045737534290402726,-0.06929764318677548,4291.3122221411995,0.976903660900636,2.7871790888030987
70,lh_S_subparietal_thickness,-13601.349027159036,0.15797175536491426,-0.6799118005086139,-27177.78401030371,0.29303690865152693,0.3703129097638711
71,lh_S_temporal_inf_thickness,-9492.776439114468,0.3143389373499109,-0.37192784179898164,-18960.638834214573,0.36308588109526146,1.3651690666553782
72,lh_S_temporal_sup_thickness,-18419.33118959912,0.3181271303382325,-0.8421183648267507,-36813.748335183875,0.3412013961110795,0.5974171811935889
73,lh_S_temporal_transverse_thickness,7256.17435682465,0.0725402095937897,-0.10853505656670803,14537.262757663666,0.4115666569347301,-0.15280270560460563
74,lh_MeanThickness_thickness,-23873.93567887142,0.3828524334282626,-0.9573608264540302,-47722.957313728475,0.23638396519683744,0.8359260711686991
75,rh_G&S_frontomargin_thickness,-6008.066035044571,0.24593881105315463,-0.7591801670267442,-11991.218026074777,0.5943321152747651,1.6802860365246974
76,rh_G&S_occipital_inf_thickness,-3951.916765805302,0.1575969686838452,-0.37057284715617855,-7878.919487596239,0.17462409697543999,0.1259653485851219
77,rh_G&S_paracentral_thickness,-2811.14337986512,0.29290881265809854,-0.36151539409087374,-5597.3727157158755,0.2737574182037182,1.0145403074671056
78,rh_G&S_subcentral_thickness,-6923.6859105229505,0.2061611641465243,-0.40006854760504906,-13822.457777031535,0.27184216985191306,0.4348646807336542
79,rh_G&S_transv_frontopol_thickness,-5678.101270900809,0.24425243441135214,-0.34648053661576483,-11331.288497787253,0.2563658520757644,1.9192456188456732
